Codigo_Familia	Familia	Grau
1	CALÇADO	1
11	FUTEBOL - FUTSAL - TURF	2
111	SAPATILHAS FUTEBOL HOMEM	3
1111	Chuteiras Futebol Homem Pelado HG	4
1112	Chuteiras Futebol Homem Relvado FG	4
1113	Chuteiras Futebol Homem MultiGround MG	4
1114	Chuteiras Futebol Homem Relva Artificial AG	4
1115	Chuteiras Futebol Homem piton Misto FG/AG	4
1117	Sapatilhas Futebol Homem Turf	4
113	SAPATILHAS FUTEBOL JUNIOR	3
1131	Chuteiras Futebol Junior Pelado HG	4
1132	Chuteiras Futebol Junior Relvado FG	4
1133	Chuteiras Futebol Junior Multiground MG	4
1134	Chuteiras Futebol Junior Relva Artificial AG	4
1135	Chuteiras Futebol Junior piton Misto FG/AG	4
1137	Sapatilhas Futebol Junior Turf	4
115	SAPATILHAS FUTSAL HOMEM	3
1151	Sapatilhas Futsal Homem Atacador	4
1152	Sapatilhas Futsal Homem Elástico	4
1153	Sapatilhas Futsal Homem Velcro	4
116	SAPATILHAS FUTSAL SENHORA	3
1161	Sapatilhas Futsal Senhora Atacador	4
117	SAPATILHAS FUTSAL JUNIOR	3
1171	Sapatilhas Futsal Junior Atacador	4
1172	Sapatilhas Futsal Junior Elástico	4
1173	Sapatilhas Futsal Junior Velcro	4
12	TÉNIS - PADEL - SKATE - BIKE	2
121	SAPATILHAS TÉNIS-PADEL HOMEM	3
1211	Sapatilhas Ténis-Padel Homem Atacador	4
122	SAPATILHAS TÉNIS-PADEL SENHORA	3
1221	Sapatilhas Ténis-Padel Senhora Atacador	4
123	SAPATILHAS TÉNIS-PADEL JUNIOR	3
1231	Sapatilhas Ténis-Padel Junior Atacador	4
124	SAPATILHAS SKATE HOMEM	3
1241	Sapatilhas Skate Homem Atacador	4
125	SAPATILHAS SKATE SENHORA	3
1251	Sapatilhas Skate Senhora Atacador	4
126	SAPATILHAS SKATE JUNIOR	3
1261	Sapatilhas Skate Junior Atacador	4
1262	Sapatilhas Skate Junior Elastico	4
127	SAPATILHAS BICICLETA	3
1271	Sapatilhas Bicicleta/BTT/Indoor Cycling	4
13	ATLETISMO - TREINO - ANDAMENTO	2
131	SAPATILHAS ATLETISMO HOMEM	3
1311	Sapatilhas Atletismo Homem Treino	4
1312	Sapatilhas Atletismo Homem Competição	4
