Codigo_Familia	Familia	Grau	Categoria	Modalidade	Genero
111	SAPATILHAS FUTEBOL HOMEM	3	Calcado	Futebol	Homem
113	SAPATILHAS FUTEBOL JUNIOR	3	Calcado	Futebol	Junior
115	SAPATILHAS FUTSAL HOMEM	3	Calcado	Futsal	Homem
116	SAPATILHAS FUTSAL SENHORA	3	Calcado	Futsal	Senhora
117	SAPATILHAS FUTSAL JUNIOR	3	Calcado	Futsal	Junior
121	SAPATILHAS TÉNIS-PADEL HOMEM	3	Calcado	Ténis	Homem
122	SAPATILHAS TÉNIS-PADEL SENHORA	3	Calcado	Ténis	Senhora
123	SAPATILHAS TÉNIS-PADEL JUNIOR	3	Calcado	Ténis	Junior
124	SAPATILHAS SKATE HOMEM	3	Calcado	Skate	Homem
125	SAPATILHAS SKATE SENHORA	3	Calcado	Skate	Senhora
126	SAPATILHAS SKATE JUNIOR	3	Calcado	Skate	Junior
127	SAPATILHAS BICICLETA	3	Calcado	Ciclismo	
131	SAPATILHAS ATLETISMO HOMEM	3	Calcado	Atletismo	Homem
132	SAPATILHAS ATLETISMO SENHORA	3	Calcado	Atletismo	Senhora
133	SAPATILHAS ATLETISMO JUNIOR	3	Calcado	Atletismo	Junior
141	SAPATILHAS BASQUETEBOL HOMEM	3	Calcado	Basquetebol	Homem
143	SAPATILHAS BASQUETEBOL JUNIOR	3	Calcado	Basquetebol	Junior
145	SAPATILHAS ANDEBOL HOMEM	3	Calcado	Andebol	Homem
146	SAPATILHAS ANDEBOL SENHORA	3	Calcado	Andebol	Senhora
147	SAPATILHAS ANDEBOL JUNIOR	3	Calcado	Andebol	Junior
148	SAPATILHAS PAVILHÃO/VOLLEY	3	Calcado	Volley	
151	SAPATILHAS GINÁSIO	3	Calcado	Ginásio	
153	SAPATILHAS DANÇA	3	Calcado	Ballet	
154	SAPATILHAS YOGA	3	Calcado	Ginástica	
155	SABRINAS	3	Calcado		
161	SAPATILHAS LAZER HOMEM	3	Calcado	Lazer	Homem
162	SAPATILHAS LAZER SENHORA	3	Calcado	Lazer	Senhora
163	SAPATILHAS LAZER JUNIOR	3	Calcado	Lazer	Junior
164	SAPATILHAS LAZER BEBE	3	Calcado	Lazer	Bebe
171	SAPATOS VELA	3	Calcado		
172	SAPATOS LAZER	3	Calcado	Lazer	
173	BOTAS LAZER	3	Calcado	Lazer	
175	SAPATOS OUTDOOR/MONTANHA	3	Calcado	Montanha	
176	BOTAS OUTDOOR/MONTANHA	3	Calcado	Montanha	
181	SANDALIAS HOMEM	3	Calcado		Homem
182	SANDALIAS SENHORA	3	Calcado		Senhora
183	SANDALIAS JUNIOR	3	Calcado		Junior
184	SANDALIAS BEBÉ	3	Calcado		Bebe
185	CHINELOS HOMEM	3	Calcado		Homem
186	CHINELOS SENHORA	3	Calcado		Senhora
187	CHINELOS JUNIOR	3	Calcado		Junior
191	SLIP-ON HOMEM	3	Calcado		Homem
192	SLIP-ON SENHORA	3	Calcado		Senhora
193	SLIP-ON JUNIOR	3	Calcado		Junior
196	LONAS HOMEM	3	Calcado		Homem
197	LONAS SENHORA	3	Calcado		Senhora
198	LONAS JUNIOR	3	Calcado		Junior
199	LONAS BEBÉ	3	Calcado		Bebe
311	FT HOMEM	3	Textil		Homem
312	FT SENHORA	3	Textil		Senhora
313	FT RAPAZ	3	Textil		Rapaz
314	FT RAPARIGA	3	Textil		Rapariga
315	FT BEBÉ	3	Textil		Bebe
321	CALÇÕES/SHORTS BANHO	3	Textil		
322	CALÇÕES PASSEIO	3	Textil	Passeio	
323	CALÇÕES ATLÉTISMO	3	Textil	Atletismo	
324	CALÇÕES CICLISMO	3	Textil	Ciclismo	
325	CALÇÕES TREINO/GINÁSTICA	3	Textil	Ginástica	
326	CALÇÕES DE FUTEBOL	3	Textil	Futebol	
327	CALÇÕES DE BASQUETEBOL	3	Textil	Basquetebol	
328	CALÇÕES TÉNIS	3	Textil	Ténis	
331	T-S HOMEM	3	Textil		Homem
332	T-S SENHORA	3	Textil		Senhora
333	T-S RAPAZ	3	Textil		Rapaz
334	T-S RAPARIGA	3	Textil		Rapariga
335	T-S BEBÉ	3	Textil		Bebe
336	T-S ATLETISMO	3	Textil	Atletismo	
337	T-S BASQUETEBOL	3	Textil	Basquetebol	
338	T-S / TOP TÉNIS	3	Textil	Ténis	
341	SWEATS HOMEM	3	Textil		Homem
342	SWEATS SENHORA	3	Textil		Senhora
343	SWEATS RAPAZ	3	Textil		Rapaz
